sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
EOL:207650	Mystus pelusius		infected by	EOL:2909794	Apiosoma	GEONAMES:89341	Basrah Province, Iraq					Adday, T.K. 2001. Biology of the crustacean Ergasilus ogawai Kabata, 1992 which parasitized on some Iraqi fishes. M. Sc. Thesis, College of Agriculture, University of Basrah: 117 pp. (In Arabic)
EOL:1002964	Silurus triostegus		infected by	EOL:2909794	Apiosoma	GEONAMES:89341	Basrah Province, Iraq					Adday, T.K. 2001. Biology of the crustacean Ergasilus ogawai Kabata, 1992 which parasitized on some Iraqi fishes. M. Sc. Thesis, College of Agriculture, University of Basrah: 117 pp. (In Arabic)
EOL:211989	Poecilia latipinna		infected by	EOL:13772269	Apiosoma amoeba	GEONAMES:89341	Basrah Province, Iraq					Kadhim, A.H. 2009. Disease agents of four fish species in Basrah Province. M.Sc. Thesis, College of Agriculture, University of Basrah: 102 pp. (In Arabic)
	Planiliza carinata		infected by	EOL:2909264	Balantidium	GEONAMES:89341	Basrah Province, Iraq					Al-Daraji, S.A.M.; Salim, Y.A.K.; Jori, M.M. and Nasir, A.M. 1999. Endoparasites of some cultured fishes from Basrah. Basrah Journal of Science, B, 17(1): 81- 86.
EOL:206184	Liza abu		infected by	EOL:2909264	Balantidium	GEONAMES:89341	Basrah Province, Iraq					Al-Daraji, S.A.M.; Salim, Y.A.K.; Jori, M.M. and Nasir, A.M. 1999. Endoparasites of some cultured fishes from Basrah. Basrah Journal of Science, B, 17(1): 81- 86.
EOL:212044	Ctenopharyngodon idella		infected by	EOL:2909264	Balantidium	GEONAMES:89341	Basrah Province, Iraq					Al-Daraji, S.A.M.; Salim, Y.A.K.; Jori, M.M. and Nasir, A.M. 1999. Endoparasites of some cultured fishes from Basrah. Basrah Journal of Science, B, 17(1): 81- 86.
EOL:1002964	Silurus triostegus		infected by	EOL:13771648	Chilodonella hexasticha	GEONAMES:89341	Basrah Province, Iraq					Abbas, A.A.K. 2007. Histopathological studies of some parasites of the Asian catfish, Silurus triostegus (Heckel, 1843) and potassium permanganate on the black molly, Poecilia sphenops (Valenciennes, 1846 Ph. D. Thesis, College of Education, University of Basrah: 144 pp. (In Arabic)
EOL:212044	Ctenopharyngodon idella		infected by	EOL:985921	Cyprinus carpio	GEONAMES:89341	Basrah Province, Iraq					Al-Dosary, S.H. 1999. A study on some protozoan parasites of six species of freshwater fishes of Qarmat Ali River, Basrah. M. Sc. Thesis, College of Agriculture, University of Basrah: 61 pp. (In Arabic); Jori, M.M. 2006. Parasitic study on the Asian catfish Silurus triostegus (Heckel, 1843) from Al-Hammar marshes, Basrah, Iraq. Ph. D. Thesis, College of Agriculture, University of Basrah: 192 pp.
EOL:212044	Ctenopharyngodon idella		infected by	EOL:62540	Entamoeba	GEONAMES:89341	Basrah Province, Iraq					Al-Daraji, S.A.M.; Salim, Y.A.K.; Jori, M.M. and Nasir, A.M. 1999. Endoparasites of some cultured fishes from Basrah. Basrah Journal of Science, B, 17(1): 81- 86.
EOL:217587	Mesopotamichthys sharpeyi		infected by		Haemogregaina majeedi	GEONAMES:89341	Basrah Province, Iraq					Al-Salim, N.K. 1989a. Pathology of the freshwater fish Barbus sharpeyi infested by four diseases including Haemogregarina majeedi n. sp. Second Scientific Conference, Fisheries and Marine Resources, Basrah: 16-17 May 1989. (Abstract); Al-Salim, N.K. 1993. Haemogregarina majeedi n. sp. from the freshwater fish Barbus sharpeyi Günther (Cyprinidae Zoology in the Middle East, 9: 97-101. Al-Salim, N.K. and Al-Daraji, S.A.M. 1990. Trypanosoma arabica sp. n. from the freshwater fish Silurus triostegus Heckel in Iraq. Acta Ichthyologica et Piscatoria, 20(2): 85-89.
